id,name,year,domain,kind,n_events,sig_local,sig_global,sig_rel,prior_type,outcome,t_res_yr,route,indep_comparable,item_rel,notes,few_event,resolved,real,in_window,window_flag,t_obs,primary
B14,LSND anti-nu_e appearance,1996,neutrino,small_excess,~88 excess events,3.8,,likely,new,unresolved,,none,no,certain,KARMEN excluded part of the region; sterile-neutrino fits in tension; censored,False,False,False,True,in,30.700000000000045,True
B15,EDGES 21-cm absorption trough,2018,cosmo,small_excess,0.5 K trough (twice the standard maximum),3.8,,certain,new,contradicted,4.0,independent_expt,yes,certain,SARAS 3 (2022) rejects the EDGES profile at 95.3 %; leading hypothesis ground-plane/systematics,False,True,False,True,in,4.0,True
B16,LHCb R_K lepton-universality anomaly,2021,collider,precision,hundreds of B+ -> K+ l+ l-,3.1,,certain,new,artefact,1.7,reanalysis,no,certain,"3.1 sigma March 2021 (anomalies since 2014); Dec 2022 reanalysis: misidentified hadronic backgrounds, R_K SM-compatible",False,True,False,True,in,1.7,True
B17,Muon g-2 (BNL final -> FNAL),2004,precision,precision,precision measurement,2.7,,likely,new,theory_revision,21.0,theory,yes,likely,"2.7 sigma (2004), 3.3-3.7 with later theory, 4.2 (2021), 5.0 (2023) vs 2020 white paper; lattice HVP (BMW 2020) and the 2025 theory update remove most of the discrepancy (recalled: likely)",False,True,False,True,in,21.0,True
B18,CDF W-boson mass (7 sigma),2022,precision,precision,precision measurement,7.0,,certain,new,contradicted,1.5,independent_expt,yes,certain,ATLAS 2023 and CMS 2024 SM-consistent; cause unidentified; above window,False,True,False,False,above,1.5,True
B19,"ATOMKI X17 (8Be, 4He angular correlations)",2016,nuclear,small_excess,angular-correlation bump,6.8,,certain,new,unresolved,,none,yes,certain,MEG II 2024 finds no signal (recalled: likely); several other null/partial tests; censored; above window,False,False,False,False,above,10.700000000000045,True
B20,Reactor antineutrino anomaly,2011,neutrino,precision,~6 % flux deficit,3.0,,likely,new,theory_revision,7.0,theory,yes,certain,"Daya Bay fuel-evolution 2017, Kurchatov 235U/238U ratio 2021: 235U flux prediction was off; largely a flux-model error",False,True,False,True,in,7.0,True
B21,Gallium anomaly (GALLEX/SAGE -> BEST),2010,neutrino,precision,source-calibration deficit,2.7,,likely,new,unresolved,,none,no,certain,~2.5-3 sigma 2010; BEST 2022 ~4 sigma; censored,False,False,False,True,in,16.700000000000045,True
B22,Heidelberg-Moscow 0nubb claim,2001,nuclear,small_excess,~15 counts in the Q-value peak,3.1,,likely,new,contradicted,12.0,independent_expt,no,certain,"2.2-3.1 sigma (2001), 4.2 (2004), 6 (2006); GERDA 2013 excluded the claim; KamLAND-Zen/EXO-200 likewise",False,True,False,True,in,12.0,True
B23,DAMPE 1.4 TeV electron-positron peak,2017,astro,small_excess,few tens of events,,,unknown,new,unresolved,,none,no,uncertain,significance and status recalled only vaguely; EXCLUDED from primary counts,False,False,False,False,unknown,9.700000000000045,False
B24,CDF W+jj 145 GeV bump,2011,collider,small_excess,~250 excess events,3.2,,likely,new,artefact,1.2,independent_expt,yes,likely,4.1 sigma with more data; D0 null; CDF 2012 traced to jet-energy-scale / background modelling,False,True,False,True,in,1.2,True
B25,Tevatron top forward-backward asymmetry,2011,collider,precision,precision measurement,3.4,,likely,new,theory_revision,4.0,theory,yes,likely,CDF high-mass A_FB; NNLO QCD (2015) and D0/more data closed the gap,False,True,False,True,in,4.0,True
B26,HERA high-Q2 events (H1/ZEUS 1997),1997,collider,small_excess,O(10) events vs ~5 expected,,,unknown,new,statistical,2.0,more_data_same,yes,likely,leptoquark interpretation; excess did not grow with 1998-2000 data,False,True,False,False,unknown,2.0,True
B27,ALEPH four-jet events at 105 GeV,1996,collider,small_excess,~16 excess 4-jet events,,,unknown,new,statistical,1.0,independent_expt,yes,likely,not seen by DELPHI/L3/OPAL; faded in 1997,False,True,False,False,unknown,1.0,True
B28,Pentaquark Theta+(1540),2003,nuclear,small_excess,LEPS ~19 events,4.6,,likely,new,statistical,3.0,independent_expt,yes,likely,several 4-5 sigma claims 2003-2004; CLAS high-statistics 2006 null; above window,False,True,False,False,above,3.0,True
B29,AGASA super-GZK events,1998,astro,small_excess,11 events above 1e20 eV,,,unknown,new,contradicted,6.0,independent_expt,yes,likely,HiRes (2004-2008) and Auger (2008) observe the GZK suppression; AGASA energy scale implicated,False,True,False,False,unknown,6.0,True
B30,CMS 95 GeV diphoton excess,2018,collider,small_excess,small excess,2.9,,likely,new,unresolved,,none,yes,likely,"2.8 sigma (2018), 2.9 sigma local (2023); ATLAS 1.7 sigma; censored",False,False,False,True,in,8.700000000000045,True
B31,KOTO K_L -> pi0 nu nubar candidates,2019,collider,few_event,4 (0.05 expected),,,unknown,new,background,1.5,reanalysis,no,likely,2019 conference result; 2020-2021 reanalysis: charged-kaon and halo-neutron backgrounds; upper limit published,True,True,False,False,unknown,1.5,True
B32,R_D / R_D* (BaBar 2012 onward),2012,collider,precision,precision ratio,3.4,,likely,new,unresolved,,none,yes,certain,BaBar 3.4 sigma 2012; world average ~3 sigma 2023; censored,False,False,False,True,in,14.700000000000045,True
B33,AMS-02 antihelium candidates,2016,astro,few_event,~8 candidates,,,unknown,new,unresolved,,none,no,likely,conference presentations only; no refereed paper to our knowledge; censored,True,False,False,False,unknown,10.700000000000045,True
B34,D0 like-sign dimuon asymmetry,2010,collider,precision,precision asymmetry,3.2,,likely,new,contradicted,4.0,independent_expt,yes,likely,"3.2 sigma (2010), 3.9 (2011); LHCb a_sl measurements SM-consistent",False,True,False,True,in,4.0,True
